id_user,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24
4492,2,2,1,-2,3,2,2,3,1,2,1,2,3,3,3,2,1,2,1,-3,-1,1,1,1
5679,-3,3,-2,-3,3,3,3,2,1,3,3,3,0,3,3,0,3,3,3,3,2,3,0,1
7169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5816,-1,2,-2,-1,2,2,1,1,1,1,2,2,1,1,2,1,1,2,2,-1,3,1,2,2
6604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3558,-1,3,-1,-1,3,3,3,-1,2,3,3,3,2,3,3,3,3,3,3,0,3,3,1,3
7247,-3,2,0,1,2,-1,-1,1,1,2,2,1,2,2,1,1,-1,1,1,-1,-1,-2,-1,-1
4113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7206,-1,1,0,-1,2,1,1,1,2,2,2,2,3,1,1,2,3,2,3,2,1,2,2,0
7236,-1,-1,-3,-3,2,2,2,1,3,1,2,3,0,-1,-1,2,1,3,2,-1,-2,-1,-1,-1
4763,3,2,1,1,1,1,-2,2,-1,2,1,3,-1,2,1,-2,3,3,2,3,-2,2,1,2
6493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7173,-1,0,-1,1,-1,1,-2,1,0,1,-1,0,0,0,-1,1,0,-1,0,1,-1,0,0,-1
3765,3,3,-3,3,3,3,-3,3,3,3,3,3,-3,3,3,-3,3,3,3,3,3,3,3,3
5690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7235,-1,1,-1,-3,1,3,3,1,1,1,3,3,1,1,3,1,3,3,3,1,1,3,3,3
7234,-2,2,-2,-1,1,2,1,-1,2,2,1,3,1,1,-1,1,2,1,2,2,-1,1,1,1
7129,0,2,-3,-3,2,2,-1,1,1,2,2,3,3,1,2,1,0,3,2,-3,1,2,0,1
6485,-3,3,3,-3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,-3,3,3,1,3
7229,-2,2,0,-2,3,3,2,3,3,1,2,3,2,2,3,3,1,3,3,0,2,2,3,2
3631,-3,2,-2,-2,3,-3,3,-3,2,2,-3,-2,1,-2,1,1,3,2,1,1,3,-3,1,1
5014,1,3,3,1,2,2,1,3,3,3,2,2,3,2,3,3,2,1,3,2,3,3,3,2
7221,-1,2,-1,-2,1,2,2,0,1,1,1,1,2,2,0,1,2,0,0,0,1,1,0,2
