"7","3990","0","0","1","-2","-2","3","2","0","1","3","-2","2","3","2","1","2","1","0","0","3","0","2","1","0","0","2022-05-10 15:20:43"
"8","3987","0","-3","2","-3","-3","2","3","2","2","3","2","2","3","3","2","3","2","3","3","3","-2","0","0","0","-2","2022-05-10 15:20:43"
"9","3993","0","2","0","-1","-2","3","2","1","3","0","3","-1","3","3","-2","-2","1","3","1","1","-2","-3","-2","-2","-2","2022-05-10 15:20:43"
"10","4010","0","0","1","-2","-3","2","3","1","1","-1","2","1","2","3","1","2","3","2","2","2","-2","1","2","-1","1","2022-05-10 15:20:43"
"11","4002","0","1","2","-2","-2","3","3","-3","3","0","2","2","2","3","3","3","2","1","2","3","2","2","3","2","2","2022-05-10 15:20:43"
"12","3999","0","0","2","-1","-2","3","2","1","2","2","3","2","2","2","1","2","3","0","0","1","1","2","3","1","2","2022-05-10 15:20:43"
"13","3986","0","0","2","-1","0","3","3","1","2","3","-1","-1","2","3","1","1","3","1","1","1","0","1","1","1","0","2022-05-10 15:20:43"
"14","4009","0","1","0","-3","-1","1","1","0","1","-2","0","-1","2","3","0","1","2","0","1","2","2","0","1","0","1","2022-05-10 15:20:43"
"15","3985","0","-1","2","-2","0","1","0","2","2","3","1","2","3","2","1","2","2","1","2","2","1","1","2","0","0","2022-05-10 15:20:43"
"16","4003","0","0","1","0","1","3","3","3","2","2","2","2","2","3","2","3","2","-2","2","3","-2","2","2","2","0","2022-05-10 15:20:43"
"17","3997","0","-2","1","-1","-2","2","2","0","1","1","1","-1","2","2","2","2","2","1","2","3","-1","1","1","1","-1","2022-05-10 15:20:43"
"18","3989","0","-3","1","-2","2","3","3","2","2","1","-1","2","3","3","1","3","3","-2","-1","1","-2","3","2","2","2","2022-05-10 15:20:43"
"19","4007","0","0","3","0","3","3","3","1","2","3","3","2","3","3","3","2","2","3","3","3","0","3","3","3","3","2022-05-10 15:20:43"
"20","3991","0","0","2","-2","-2","3","1","0","1","1","1","2","2","3","1","1","3","3","3","3","2","1","2","2","1","2022-05-10 15:20:43"
"21","4012","0","1","0","1","1","2","2","1","2","3","-1","-1","3","3","2","3","2","2","2","3","-2","2","2","1","1","2022-05-10 15:20:43"
"22","4006","0","-3","1","-3","0","2","2","0","2","0","0","2","2","2","1","2","2","2","2","2","0","2","2","2","2","2022-05-10 15:20:43"
"23","3995","0","-3","3","0","-2","3","3","2","3","2","3","3","0","1","2","2","0","-3","-2","2","-2","3","0","0","0","2022-05-10 15:20:43"
"24","3998","0","-3","1","-3","-3","3","3","1","1","3","1","2","3","3","3","3","1","2","2","3","-1","2","2","2","2","2022-05-10 15:20:43"
"25","3988","0","-2","2","-2","-2","2","2","1","3","3","-1","2","3","2","2","1","2","3","3","3","1","1","3","2","2","2022-05-10 15:20:43"
"27","4013","0","1","2","3","1","3","3","3","3","2","2","1","3","2","-1","1","1","0","0","2","1","0","-1","-1","0","2022-05-10 15:20:43"
"28","3992","0","0","-1","-3","-3","3","2","2","3","2","1","3","3","3","2","2","1","1","1","1","-2","2","2","2","3","2022-05-10 15:20:43"
"29","4004","0","-1","2","-3","-3","3","3","1","3","2","3","1","1","2","1","2","2","1","2","2","-1","1","1","-1","-1","2022-05-10 15:20:43"
"30","4005","0","0","1","-1","-2","2","2","2","3","2","1","1","2","2","1","1","0","0","0","2","-1","2","2","2","2","2022-05-10 15:20:43"
"31","4014","0","-3","2","-3","-3","2","3","1","1","3","1","3","3","3","3","3","3","0","1","3","-1","1","1","1","0","2022-05-10 15:20:43"
"32","4015","0","-2","1","-3","-2","2","2","1","1","3","-1","2","2","3","3","1","3","1","3","2","-1","2","2","2","1","2022-05-10 15:20:43"
"33","4000","0","1","1","-2","-3","3","1","2","2","3","2","2","-1","3","3","3","3","3","3","3","2","2","2","3","2","2022-05-10 15:20:43"
"34","4001","0","-3","1","-1","-2","3","3","2","2","3","1","2","2","2","2","1","3","-1","-1","0","1","2","2","1","1","2022-05-10 15:20:43"
"35","3994","0","-3","2","-3","-1","3","3","3","3","2","3","2","3","3","2","3","3","2","1","3","-1","2","3","2","2","2022-05-10 15:20:43"
"36","4011","0","1","2","-2","1","2","3","0","2","3","3","3","3","3","2","2","2","3","3","3","-2","2","0","3","0","2022-05-10 15:20:43"
"37","4016","0","-3","1","-3","-1","3","3","2","2","2","1","3","2","3","3","3","3","3","2","2","0","1","1","1","1","2022-05-10 15:20:43"
"38","3425","0","-3","1","-3","0","1","2","2","3","3","2","2","3","3","3","2","2","3","1","3","-1","1","1","1","-1","2022-05-10 15:20:43"
"39","3340","0","1","1","-1","1","3","1","1","1","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2022-05-10 15:20:43"
"40","4020","0","-3","2","-1","-1","2","1","1","0","1","2","1","1","2","2","-3","1","-1","0","1","0","1","1","1","1","2022-05-10 15:20:43"
"41","4019","0","-2","3","-1","-1","3","3","2","2","2","2","2","2","2","1","2","2","0","1","3","-2","2","1","1","2","2022-05-10 15:20:43"
