id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
4194,34,58554,13680,201,56,26,8,46,1,17,0,0.33
6389,49,77287,23440,204,106,72,36,129,20,121,17,0.32
4518,72,48474,24027,216,129,38,4,33,13,10,2,0.66
4063,39,61531,36835,178,85,54,30,71,4,66,4,0.72
6395,88,89231,18055,466,138,262,63,91,21,85,20,0.73
6393,27,23820,7818,31,4,8,1,29,2,21,1,0.75
7098,34,137080,32004,980,173,161,20,326,63,250,51,0.81
6384,74,17445,0,47,0,10,0,74,0,65,0,0.75
3631,84,0,0,0,0,0,0,0,0,0,0,1
7115,73,55729,16678,111,75,51,39,65,1,49,1,0.82
4773,30,30078,25094,129,108,33,26,17,7,17,6,0.45
4777,15,13226,15780,52,79,9,58,8,5,7,5,0.64
7193,39,117280,17328,242,51,52,10,61,4,46,3,0.67
4178,36,32336,5096,205,25,12,5,15,2,13,2,0.59
2993,13,11006,2855,3,40,0,12,13,7,10,7,0.19
4181,31,51694,25671,223,86,103,34,37,8,20,1,0.68
7215,18,19726,0,221,0,107,0,15,0,11,0,0.88
7114,51,117867,19353,562,51,140,4,108,14,96,7,0.54
