id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
7155,22,63473,19350,231,129,91,36,44,35,31,31,0.33
4386,1,0,0,0,0,0,0,0,0,0,0,1
7150,1,0,0,0,0,0,0,0,0,0,0,1
7154,32,96110,26076,186,56,79,21,293,79,229,72,0.37
7151,34,58727,46841,263,252,135,171,129,44,116,40,0.81
2950,14,64518,4812,137,27,48,4,21,1,19,1,0.47
4699,3,0,5025,0,16,0,9,0,15,0,14,1
3384,37,82892,31458,243,165,63,67,384,138,291,121,0.6
6071,44,106422,17040,568,128,229,45,63,11,39,3,0.74
4781,24,100439,21975,418,77,125,30,56,13,28,12,0.59
5816,38,89462,12909,277,26,76,6,153,20,134,13,0.56
7152,5,0,0,0,0,0,0,0,0,0,0,1
4051,23,443,0,0,0,0,0,2,0,1,0,0.0
3361,20,19900,0,154,0,60,0,43,0,42,0,0.51
7200,8,0,0,0,0,0,0,0,0,0,0,1
