id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
7144,30,76470,19967,184,133,100,75,163,48,120,37,0.54
7141,94,77564,27331,78,126,35,54,155,100,126,100,0.75
7209,13,17753,5639,62,45,36,18,4,6,2,6,0.74
6128,11,5657,0,19,0,1,0,0,0,0,0,1
6011,30,47599,15335,63,71,37,44,74,25,64,20,0.61
7237,42,75907,15383,314,140,152,28,95,16,78,16,0.66
7146,38,121840,18639,245,98,64,6,97,20,80,2,0.59
7192,61,47340,18892,129,103,58,52,75,9,51,7,0.93
6437,9,0,0,0,0,0,0,0,0,0,0,1
7140,12,1497,971,6,0,1,0,11,0,11,0,0.73
6108,5,14792,0,0,0,0,0,0,0,0,0,1
6141,19,17622,12276,29,9,10,9,47,0,42,0,0.94
7142,52,172634,19897,749,79,215,15,159,23,114,4,0.58
5668,15,60696,19098,166,171,43,14,61,11,48,11,0.52
6086,28,37386,12914,53,0,13,0,121,52,79,52,0.76
6012,28,60280,8988,124,26,73,12,78,4,71,4,0.51
7186,31,90884,30519,191,139,123,38,69,22,52,17,0.68
7147,5,11024,0,13,0,5,0,35,0,32,0,0.86
7149,28,41718,9572,70,62,45,29,52,14,36,14,0.94
7148,71,114660,40343,592,300,273,104,361,484,319,480,0.69
6007,10,0,0,0,0,0,0,0,0,0,0,1
5604,60,118416,11601,289,29,181,6,72,6,60,0,0.72
2357,5,0,0,0,0,0,0,0,0,0,0,1
7168,35,50270,21113,216,86,52,30,19,7,10,5,0.82
6004,50,118247,27458,218,196,94,37,400,168,354,138,0.67
4339,36,123903,31641,544,98,143,29,1175,1,1162,1,0.64
4070,40,68903,14171,190,128,52,38,186,49,159,49,0.64
3765,31,66578,13085,242,71,103,14,24,1,13,0,0.63
7241,6,9125,8043,43,59,17,30,8,6,8,6,0.23
7143,52,90152,23329,449,241,187,56,278,69,246,54,0.44
5008,25,49606,8377,69,19,19,2,125,25,95,12,0.28
7169,56,129973,42167,620,463,310,110,104,83,83,80,0.65
