id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
3757,56,18818,26262,78,120,25,65,59,49,43,47,0.54
7181,47,70703,17719,175,41,58,6,128,26,99,10,0.32
7247,1,1737,0,4,0,4,0,0,0,0,0,1
5025,51,47820,20771,150,63,40,15,37,16,23,12,0.45
7178,31,31924,19358,56,162,21,16,55,85,35,78,0.55
7173,9,8573,0,35,0,7,0,21,0,20,0,0.3
7180,30,128357,28334,520,223,198,30,260,46,214,34,0.79
7176,60,117613,27991,597,200,197,96,154,59,111,50,0.46
3657,12,45262,16616,154,42,34,7,107,29,78,9,0.36
7179,65,103360,22627,382,129,142,84,263,23,185,22,0.49
1059,99,2592,0,1,0,1,0,4,0,1,0,0.45
7175,41,26686,5195,1,36,0,4,42,14,32,14,0.6
6125,103,60995,18256,94,113,45,12,122,19,71,5,0.55
7172,26,51251,18076,66,83,14,16,20,27,12,22,0.76
6485,132,4723,2179,4,6,3,3,8,0,8,0,0.71
4113,1,0,0,0,0,0,0,0,0,0,0,1
6074,25,40761,6576,163,34,67,13,97,14,72,11,0.46
3765,31,0,0,0,0,0,0,0,0,0,0,1
7174,52,32458,12541,155,95,83,59,166,86,152,83,0.42
7206,16,0,0,0,0,0,0,0,0,0,0,1
7177,38,23043,4531,0,23,0,8,45,10,22,7,0.62
7205,34,34687,9842,43,22,22,5,140,35,129,33,0.66
