id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
7216,28,54510,28917,161,113,79,40,35,23,30,17,0.56
7138,80,117467,13005,501,24,131,3,219,5,157,1,0.34
6157,19,31007,5807,92,33,30,1,45,16,34,13,0.61
7128,22,58106,14988,249,77,162,70,61,20,55,19,0.79
7131,44,58666,25455,331,126,147,47,218,35,153,21,0.54
7119,44,75272,8625,272,24,64,8,210,23,155,5,0.33
7234,21,9762,1676,102,5,48,5,22,0,22,0,0.77
7124,34,54168,12827,209,28,55,1,87,14,65,6,0.72
6488,109,67215,22806,132,37,30,14,233,48,198,38,0.53
7137,21,52490,29126,181,146,120,71,119,80,99,77,0.71
7134,42,96886,17452,471,87,116,5,89,31,62,12,0.36
7121,37,82493,23855,306,165,124,64,145,59,112,41,0.45
7126,33,56215,17974,160,117,58,29,84,23,54,22,0.54
7196,28,67604,14280,132,54,20,8,34,14,21,5,0.58
4317,13,23376,11631,92,53,36,36,9,1,9,1,0.46
7122,58,97810,25142,492,62,144,33,189,6,147,6,0.43
7139,68,161084,31461,596,104,304,49,90,8,69,1,0.54
7133,27,15173,1299,49,4,3,3,11,2,6,2,0.43
7136,51,68695,12936,293,65,95,15,59,25,46,0,0.55
7116,60,27309,12725,22,43,11,14,77,40,39,33,0.77
7135,9,1123,0,11,0,6,0,2,0,2,0,0.86
6046,50,52818,12852,120,33,16,10,31,4,28,1,0.41
2357,5,297,0,1,0,0,0,0,0,0,0,1
6101,5,0,0,0,0,0,0,0,0,0,0,1
7235,13,3800,6686,11,22,11,22,6,1,3,1,0.87
7130,50,114652,22625,168,78,79,24,180,94,147,75,0.61
7129,5,0,0,0,0,0,0,0,0,0,0,1
6406,62,0,0,0,0,0,0,0,0,0,0,1
7118,64,179226,39204,798,117,290,45,235,36,177,21,0.47
3169,38,91361,33778,283,106,22,6,41,15,29,4,0.32
6059,15,3023,4793,1,18,1,7,4,6,4,6,0.24
7123,55,67629,23139,109,89,48,27,50,22,29,21,0.58
7221,27,31946,15564,52,40,11,32,103,61,90,61,0.86
7132,42,75867,34545,179,113,82,34,65,32,59,25,0.41
7125,32,61048,10679,197,22,85,4,50,3,34,1,0.64
7195,28,70805,19266,390,53,167,21,100,20,81,15,0.49
7127,31,69784,24674,189,160,57,65,62,26,35,10,0.71
4763,1,0,0,0,0,0,0,0,0,0,0,1
3234,15,38902,15846,154,65,25,23,48,14,43,10,0.6
6604,266,1621,0,2,0,2,0,5,0,5,0,0.69
7194,24,48445,13155,270,157,138,36,109,21,99,21,0.63
5517,8,14252,0,61,0,17,0,10,0,10,0,0.9
