id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_erros_sintaticos_testes_listas,total_submissoes_listas,total_submissoes_incorretas_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_avaliacoes,total_submissoes_avaliacoes,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
4102,86,84551,13105,562,128,252,220,251,19,8,8,41994.64
4108,109,88695,11487,1656,373,252,110,207,67,16,10,50749.73
4335,9,1873,0,43,5,5,5,0,0,0,0,15775.25
4168,73,49787,20819,480,139,305,268,325,80,68,53,19296.98
4104,89,16146,5384,189,51,302,255,110,28,41,41,6991.02
3050,18,2865,565,16,5,88,56,7,4,2,2,74125.38
4116,90,47292,19730,870,290,395,331,469,94,82,57,32817.32
3947,13,814,0,24,1,12,11,0,0,0,0,125251.11
3486,101,100610,15428,1944,262,825,724,456,50,83,78,35565.46
3049,25,14775,2485,96,23,107,64,19,1,25,25,51500.14
3048,68,18748,7901,153,18,236,151,97,26,101,97,34763.59
4122,119,119382,23318,1435,267,393,316,529,49,54,49,25551.29
4112,37,19218,6571,154,57,255,219,57,12,39,38,33360.81
3056,2,600,0,8,1,2,2,0,0,0,0,136283.58
4117,47,9924,1349,43,22,75,62,12,1,3,3,86795.14
4336,45,28188,7598,595,153,74,68,237,81,18,17,6040.78
4098,43,27015,4620,280,99,265,261,110,15,69,69,67658.2
4120,76,52227,22466,552,178,422,370,348,70,278,242,14337.19
2848,5,461,0,11,1,1,0,0,0,0,0,139154.58
4103,106,76748,25814,1165,280,296,266,501,86,63,52,48891.64
3059,31,16534,3686,359,40,586,563,121,6,53,49,26144.15
4097,76,62912,15639,535,94,369,330,197,26,58,57,35528.21
3678,35,845,0,12,1,8,3,0,0,0,0,128407.45
4334,59,42159,4914,597,198,240,224,80,12,13,13,28837.63
4105,230,60255,14548,599,250,1931,1498,259,64,538,525,13165.75
4304,43,33300,8937,85,27,255,220,168,39,112,107,12314.43
3055,74,60668,8984,913,174,334,312,130,11,19,16,45270.34
1242,35,28142,3139,481,134,69,68,105,17,7,7,38392.26
1064,58,15,0,0,0,0,0,0,0,0,0,0
4114,109,9179,4666,120,35,238,132,75,37,58,57,19158.24
4099,45,38609,20514,398,87,129,98,275,53,68,55,36098.31
4113,157,52557,18633,1186,288,1255,1194,415,100,339,316,70268.07
4166,116,83146,12924,1632,416,480,434,213,35,55,54,29828.49
3065,63,47535,15147,734,133,419,343,227,17,65,61,65453.53
4101,103,68954,8762,887,154,602,493,85,10,26,23,38277.69
3061,102,139672,16725,1099,173,142,111,200,8,16,12,34932.3
4109,217,154714,30504,1906,444,1203,1017,829,112,147,143,57531.54
3067,20,4335,1255,70,31,40,40,20,9,7,7,67405.23
3072,105,62543,4910,987,167,306,250,156,9,14,12,46852.77
3677,6,1110,0,18,1,6,2,0,0,0,0,108671.35
4107,28,8983,1231,115,25,37,30,34,1,20,20,94889.41
4118,96,82419,16696,1266,239,337,237,239,30,39,32,26193.66
4119,63,56704,12359,712,130,161,123,188,17,27,12,47000.51
4121,89,49063,15519,533,99,203,159,285,73,43,41,25592.56
1193,110,7572,0,218,21,39,37,0,0,0,0,70296.87
1407,39,0,0,0,0,0,0,0,0,0,0,0
4110,38,12643,707,146,40,158,144,8,4,0,0,84649.46
3062,71,25999,21209,321,60,189,174,204,56,14,14,83134.33
4195,64,5751,1147,92,16,44,34,13,13,33,33,64151.83
3746,215,103861,0,1668,145,289,182,0,0,0,0,75891.62
4106,93,35841,19892,283,103,219,199,279,170,81,80,28686.62
4421,8,3672,0,2,1,118,102,0,0,0,0,126687.37
4100,16,6338,0,48,25,11,7,0,0,0,0,32027.93
4286,38,20911,7813,414,92,213,196,213,66,56,54,26808.87
