id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_erros_sintaticos_testes_listas,total_submissoes_listas,total_submissoes_incorretas_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_avaliacoes,total_submissoes_avaliacoes,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
4037,60,43391,13434,978,343,336,294,385,119,39,28,68010.56
4050,87,49118,14992,887,203,681,608,284,37,152,137,29584.09
4044,320,148077,44805,596,140,902,528,152,22,128,83,37854.31
4036,9,5541,180,87,16,29,27,0,0,0,0,104942.75
4465,9,5515,747,159,52,55,54,37,1,97,97,28485.95
4023,201,85985,28216,1025,205,302,240,378,49,415,412,39675.63
4461,68,50138,22908,1400,257,388,352,721,101,113,103,16315.78
4094,2,526,0,0,0,3,1,0,0,0,0,139734.32
4321,17,13472,1642,141,47,268,257,23,15,0,0,100330.88
3363,42,33528,2649,60,12,131,82,13,4,8,8,31191.34
4024,119,77762,17343,1110,242,620,565,381,70,302,299,11584.42
3340,13,1853,3361,38,13,52,52,107,86,61,61,133749.98
4033,218,247836,31234,4094,962,1091,1011,706,116,129,124,16890.34
3334,21,426,0,8,0,1,0,0,0,0,0,114475.37
4038,24,10285,4925,177,47,674,670,139,55,1055,1055,46958.61
4042,77,35876,4989,210,52,146,103,99,26,5,5,57328.81
4047,59,46841,3383,178,40,194,151,51,19,4,4,44506.55
4320,13,3791,2071,84,17,35,33,57,18,21,21,45486.55
4462,68,26691,9235,473,193,305,302,253,171,123,123,16967.5
3356,2,3591,0,145,14,40,36,0,0,0,0,105262.65
4034,39,14698,5564,261,68,156,139,87,23,36,33,15640.45
4021,26,11849,3743,116,40,110,108,59,12,18,18,59909.04
4026,79,88279,33851,1577,368,445,407,805,125,104,48,19344.74
3473,45,43473,7743,381,30,229,177,62,4,22,18,13961.05
4317,5,90,0,0,0,0,0,0,0,0,0,0
2151,33,10438,4164,124,25,99,84,50,13,241,240,19823.76
4531,4,1403,0,36,26,11,10,0,0,0,0,79883.63
4046,60,40478,4037,134,46,428,381,62,12,47,47,36999.16
4049,21,3917,144,176,34,113,113,0,0,0,0,129905.54
3658,17,142,0,0,0,0,0,0,0,0,0,0
4027,77,94230,15346,841,116,235,177,151,6,9,7,25567.31
2096,8,294,0,4,1,5,3,0,0,0,0,104634.14
4019,26,14674,2722,152,54,159,157,85,36,37,37,102019.73
4340,2,597,0,0,0,47,45,0,0,0,0,136029.16
4029,80,3494,0,14,1,45,45,0,0,0,0,135986.4
3425,79,33515,22232,322,60,169,122,376,58,51,44,24566.09
4305,36,13566,2601,175,48,58,53,36,21,1,1,24077.76
4043,28,11006,5730,65,25,62,52,61,31,4,4,64096.13
4028,126,82628,8766,637,158,598,518,131,31,124,100,31876.03
4053,10,687,0,0,0,8,5,0,0,0,0,139317.92
4045,42,7583,1831,221,39,224,222,58,35,18,18,100651.06
4035,1,533,0,0,0,6,4,0,0,0,0,140057.44
4460,26,10790,2506,415,223,274,271,110,37,81,81,48391.88
4022,21,7449,3885,199,100,227,218,94,40,17,17,31546.76
4025,39,9126,0,115,37,87,72,0,0,0,0,96000.09
4318,7,940,0,7,1,42,37,0,0,0,0,127256.8
4039,73,30266,15692,614,110,860,825,419,125,342,340,77515.4
4086,61,28164,7087,505,124,92,87,153,45,24,24,23664.22
4319,7,3479,1580,98,57,60,59,59,44,39,39,109609.1
4316,32,42532,3417,726,115,699,667,75,1,28,28,29027.67
4017,45,27714,5096,434,158,176,165,83,25,16,16,46359.55
4032,162,73273,20148,996,361,270,182,302,48,113,100,48932.51
4040,116,82339,19263,1349,160,415,383,321,10,75,41,13142.4
2352,114,48202,6737,594,168,656,596,65,45,111,110,8604.55
4054,43,16575,4376,263,61,154,141,80,31,11,11,30566.49
4091,4,1451,0,0,0,11,10,0,0,0,0,139762.1
3733,35,28268,12913,633,217,177,171,220,140,17,17,24324.06
2155,10,3765,1158,51,17,41,30,29,9,0,0,86302.76
4048,13,5230,594,10,3,44,32,2,2,1,1,85443.26
4463,47,33836,15247,838,108,393,390,298,16,74,73,27087.21
1193,110,130465,3933,2907,288,730,553,116,2,35,34,34839.69
1407,39,0,0,0,0,0,0,0,0,0,0,0
2146,43,20126,3677,166,17,97,27,33,19,2,1,42520.43
4041,91,108357,22469,1099,226,331,275,325,29,74,56,31959.02
4030,9,1581,0,0,0,28,27,0,0,0,0,139416.49
4031,131,83032,13500,1119,202,852,681,311,68,134,133,40124.22
