id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_erros_sintaticos_testes_listas,total_submissoes_listas,total_submissoes_incorretas_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_avaliacoes,total_submissoes_avaliacoes,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
4584,3,109,0,0,0,0,0,0,0,0,0,0
4266,92,62399,8562,1062,214,242,177,128,12,26,12,28991.9
2104,5,10,0,0,0,1,0,0,0,0,0,134018.6
3546,185,55471,8695,719,95,134,98,143,13,5,4,14857.75
3274,1,237,0,4,1,0,0,0,0,0,0,0
2846,33,9245,607,143,65,134,126,17,0,10,10,120298.01
4258,141,92810,7334,1693,203,350,205,52,11,17,9,16342.94
4387,53,6531,4822,64,13,109,85,107,26,178,177,28999.67
4386,15,5652,0,53,16,173,167,0,0,0,0,119498.38
4256,9,432,0,0,0,0,0,0,0,0,0,0
2343,236,96347,13288,1197,248,621,525,227,66,11,11,29132.76
4260,52,11114,1269,87,32,128,105,18,17,1,1,46231.55
2022,18,1487,0,27,5,20,15,0,0,0,0,131604.14
1366,60,5610,13531,39,3,31,22,150,13,15,14,55438.69
3714,47,22917,7096,410,83,326,291,180,17,212,210,20927.82
3740,23,67,0,1,0,0,0,0,0,0,0,0
1508,65,38347,8903,538,155,168,114,174,38,12,12,20565.78
4505,24,13797,3750,358,65,40,31,136,23,6,6,38283.55
4583,1,94,0,0,0,0,0,0,0,0,0,0
4264,147,69094,11572,1240,194,276,237,259,57,41,41,12244.12
3696,27,7282,1354,186,22,65,62,26,0,8,8,74249.15
4388,10,2773,0,0,0,38,32,0,0,0,0,124008.09
3426,55,38025,2478,434,33,62,53,34,0,6,5,21789.17
1226,102,10291,3412,113,26,166,148,36,9,34,29,11868.26
3224,2,404,0,13,3,6,6,0,0,0,0,20760.64
4252,10,1916,1610,64,30,11,6,48,22,0,0,109489.28
4257,3,2044,0,1,1,56,51,0,0,0,0,135521.27
3068,67,61912,10548,861,59,395,332,120,4,36,27,14326.28
4390,26,12658,1464,391,174,209,207,71,17,42,42,106360.41
3738,38,317,0,2,1,1,1,0,0,0,0,2052.82
4268,4,1792,0,0,0,379,375,0,0,0,0,135537.78
4314,31,10050,1367,89,33,161,147,28,1,24,24,79617.21
4267,87,49421,15574,784,161,403,356,268,70,41,38,10256.65
1378,86,27654,16485,395,80,156,123,339,35,40,38,13432.56
2882,84,72240,19108,1161,219,277,230,466,25,94,75,31956.29
4262,9,3447,0,3,1,519,515,0,0,0,0,135135.27
4389,124,64241,12536,884,163,269,225,126,22,44,29,10349.03
2125,581,70841,25803,933,126,729,503,381,44,60,51,20978.8
4263,42,30133,3443,506,126,63,44,40,8,1,0,25912.61
4265,97,15057,4847,315,94,99,96,98,79,0,0,45881.42
2431,66,24900,10620,215,62,111,94,94,23,26,26,40838.89
4433,58,26192,4092,500,108,194,189,86,14,19,18,30421.38
4261,143,7096,3129,79,18,120,111,57,47,20,20,57574.86
2639,31,11716,1904,284,115,77,71,47,11,4,4,66344.03
3651,15,843,0,13,1,1,1,0,0,0,0,10084.15
3446,48,32992,6919,680,223,200,194,126,56,14,14,26110.85
3694,8,3862,0,63,30,25,22,0,0,0,0,90309.03
3448,49,11544,4911,260,90,862,836,278,91,402,401,40968.03
4259,9,3149,274,65,6,75,64,0,0,0,0,131184.11
4434,6,2188,2579,20,6,70,42,62,40,46,45,94462.41
1860,127,14,0,0,0,0,0,0,0,0,0,0
1407,39,0,0,0,0,0,0,0,0,0,0,0
2023,96,61740,8245,1022,169,149,120,116,22,15,15,22503.33
3234,40,16674,11681,279,61,69,46,264,31,25,24,3595.76
