id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_erros_sintaticos_testes_listas,total_submissoes_listas,total_submissoes_incorretas_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_avaliacoes,total_submissoes_avaliacoes,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
3512,3,4853,0,55,27,47,42,0,0,0,0,964.64
4468,2,1224,0,39,19,2,2,0,0,0,0,115454.4
3995,171,130125,14277,3024,987,821,712,340,18,25,9,34535.24
4014,205,41822,5201,322,254,319,281,100,63,58,58,29372.69
4485,131,25583,8131,667,387,516,432,282,39,87,87,32117.47
4496,72,45334,18955,1093,740,251,223,373,56,32,32,13496.83
3985,118,65105,20616,1117,601,319,270,512,80,49,38,34186.06
4002,105,48132,10220,549,263,841,778,180,73,202,196,33910.81
3986,182,55863,12828,738,318,642,520,283,80,20,20,68353.08
4008,67,51922,10159,780,631,254,227,156,78,20,19,38363.39
4009,178,18546,8178,261,229,362,320,166,62,145,143,29253.05
3988,110,47369,12423,874,545,303,265,283,41,28,28,15495.66
3994,241,105253,19717,1848,949,1009,932,619,111,62,58,24942.18
3997,71,32815,9182,430,217,155,122,139,37,30,30,25102.81
4467,21,2999,0,100,66,31,31,0,0,0,0,98239.55
4011,122,59602,17327,645,473,344,282,229,35,31,27,41633.76
4000,121,54634,17507,1009,515,713,659,684,166,277,275,39013.6
4469,164,66050,8264,457,92,372,291,37,1,23,15,18824.87
4414,144,36305,6164,552,282,485,421,200,23,130,127,3892.39
1956,1,478,0,0,0,11,8,0,0,0,0,105617.84
4005,72,50986,20649,1203,816,364,329,634,148,235,154,41703.7
3992,40,39895,4266,488,380,951,907,83,14,83,82,34494.3
4010,11,4037,2107,16,7,63,57,78,24,52,52,118137.29
3991,11,5605,0,21,10,15,12,0,0,0,0,134336.33
4004,102,86925,10516,1188,486,303,258,129,6,40,36,20147.62
4012,152,66287,10379,778,377,226,177,152,14,35,35,20850.21
4470,94,87834,14316,1938,1246,403,324,340,126,34,32,35516.01
4015,21,7462,2475,154,82,379,361,57,31,13,13,35413.39
3998,242,61510,13299,862,408,362,297,154,101,18,16,23695.24
3989,179,67449,17096,954,526,283,253,269,40,43,43,42652.34
3465,39,13775,0,177,39,34,15,0,0,0,0,34347.69
4413,38,21496,7101,202,119,505,487,88,26,52,50,9354.36
4488,28,26594,2299,518,584,1338,1314,45,38,51,51,19403.32
4312,103,95973,27282,1663,1246,4515,4030,697,193,260,179,9137.77
3511,3,334,0,10,3,3,3,0,0,0,0,107142.41
4003,56,37980,7052,486,312,474,443,202,101,47,47,18050.49
1165,58,41137,12028,446,255,502,473,128,44,40,39,17350.34
4311,17,8643,1929,114,12,23,12,25,0,14,10,19975.92
4016,41,21374,6485,421,292,1511,1501,157,71,44,44,75568.44
2535,37,6805,0,65,30,36,28,0,0,0,0,83847.44
4471,10,4487,414,146,92,31,25,5,5,0,0,110586.35
4486,15,13718,0,235,211,46,38,0,0,0,0,22783.67
4006,41,35923,7752,712,310,352,315,172,58,3,3,19166.32
4013,93,85952,17279,1237,735,1501,1417,315,42,308,306,38040.69
2841,3,548,0,3,5,0,0,0,0,0,0,0
1064,58,42,22,1,1,0,0,0,0,0,0,0
4495,2,207,0,7,5,0,0,0,0,0,0,0
1168,78,236,0,7,14,1,0,0,0,0,0,140266.0
4491,46,37199,23202,649,387,99,93,167,7,17,16,14432.86
3990,12,2231,0,1,1,46,46,0,0,0,0,139826.54
3999,195,50016,10763,580,238,395,337,107,44,59,59,58267.12
3777,9,797,0,17,0,2,1,0,0,0,0,138908.22
4490,5,5137,0,23,8,47,21,0,0,0,0,99402.74
4271,91,75523,13867,1244,702,607,596,281,149,107,107,12215.1
2833,9,159,0,1,0,0,0,0,0,0,0,0
4001,165,103879,11753,1481,602,511,393,240,10,21,19,71308.74
3993,139,36234,14087,319,143,247,217,138,29,54,51,45842.71
4308,46,16310,4241,27,48,479,470,35,24,185,185,16671.41
1407,39,0,0,0,0,0,0,0,0,0,0,0
4007,118,115301,31291,1792,1038,285,222,526,114,57,53,27155.01
3987,159,54776,8075,797,624,186,160,200,13,23,22,18664.64
3161,32,19615,3334,178,103,203,187,98,11,43,43,14646.52
4310,17,1058,1432,1,14,52,42,3,3,1,1,60626.37
