id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
7216,0,61882,68662,176,267,89,105,87,83,75,52,0.75
7138,0,171671,29223,664,96,197,18,297,18,203,7,0.38
6157,1,31007,5807,92,33,30,1,45,16,34,13,0.61
7128,0,119670,31656,385,116,183,106,221,66,180,64,0.57
7131,0,113455,62837,647,432,257,130,288,53,202,37,0.57
7119,0,173858,27829,616,69,205,17,431,41,309,10,0.39
7234,0,9762,1676,102,5,48,5,22,0,22,0,0.77
7124,0,141109,28742,309,100,84,18,171,55,131,29,0.74
6488,0,137915,71698,283,139,88,40,452,134,370,98,0.52
7137,0,63987,56052,198,226,125,93,139,103,109,95,0.7
7134,0,202284,43025,1108,211,287,53,158,57,98,18,0.44
7121,0,138783,53367,398,307,163,117,285,132,235,99,0.67
7126,0,87437,45997,224,282,80,79,130,75,81,70,0.66
7196,0,112611,39710,157,88,30,17,172,57,142,38,0.84
4317,0,33775,36689,139,118,67,77,13,25,13,25,0.58
7122,0,173477,62718,744,208,202,70,316,41,231,27,0.56
7139,0,269603,63903,1030,237,493,104,132,24,91,16,0.51
7133,0,34626,3835,71,4,11,3,79,2,57,2,0.6
7136,0,129042,29811,472,153,161,38,147,52,109,20,0.58
7116,0,119096,49005,160,166,73,76,344,156,222,141,0.55
7135,0,1123,0,11,0,6,0,2,0,2,0,0.86
6046,28,63554,18501,145,76,22,14,36,14,33,5,0.41
2357,141,297,0,1,0,0,0,0,0,0,0,1
6101,129,5080,0,56,0,48,0,3,0,3,0,0.35
7235,0,32132,33770,113,78,28,37,78,27,67,20,0.65
7130,0,230833,56118,524,257,216,90,421,152,338,124,0.59
7129,0,0,0,0,0,0,0,0,0,0,0,1
6406,0,0,0,0,0,0,0,0,0,0,0,1
7118,0,288652,78764,1170,340,453,123,335,62,238,38,0.48
3169,33,125866,46889,404,137,50,14,55,16,32,4,0.4
6059,8,3023,4793,1,18,1,7,4,6,4,6,0.24
7123,0,115042,52293,185,195,80,63,132,37,71,33,0.74
7221,0,32154,15564,52,40,11,32,103,61,90,61,0.86
7132,0,159248,73499,337,237,143,74,112,62,92,47,0.55
7125,0,117126,37086,375,123,138,27,133,34,92,27,0.68
7195,0,111151,42422,617,131,255,62,216,34,147,23,0.56
7127,0,211493,69147,607,371,216,143,125,41,86,19,0.63
5679,0,47288,0,44,0,14,0,41,0,23,0,0.88
4763,0,0,0,0,0,0,0,0,0,0,0,1
3234,0,96044,32126,573,142,120,31,129,34,107,28,0.78
6604,0,4920,0,10,0,4,0,18,0,13,0,0.47
7194,0,48445,13155,270,157,138,36,109,21,99,21,0.63
5517,0,14252,0,61,0,17,0,10,0,10,0,0.9
