id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
6165,10,134179,96254,312,317,112,143,104,23,57,14,0.61
7100,0,21213,0,39,0,12,0,4,0,2,0,0.36
7105,0,168433,53035,773,227,155,89,221,45,148,16,0.39
7103,0,242177,52261,928,300,365,82,302,37,243,22,0.51
7171,0,401126,45604,1296,229,398,53,295,23,156,7,0.39
6119,8,13946,4848,46,18,2,1,1,0,1,0,0.5
7187,0,27483,5870,127,73,27,20,27,7,26,6,0.38
7229,0,138938,54602,417,403,180,169,293,82,251,65,0.6
7188,0,196376,66447,661,381,136,116,249,52,172,25,0.44
7185,0,221934,33629,873,93,193,29,131,27,87,6,0.53
7108,0,173730,28427,1192,240,386,33,277,36,198,28,0.54
6026,21,74728,7742,285,38,119,13,56,17,51,16,0.45
2927,21,289068,49041,1317,289,410,130,448,139,391,131,0.36
7112,0,235758,38080,1500,361,324,58,238,46,190,21,0.54
6493,0,27550,0,149,0,36,0,37,0,24,0,0.13
5998,66,327727,31409,584,66,111,23,540,42,377,27,0.33
7214,0,143886,4497,509,35,223,5,146,5,126,5,0.62
3799,0,164218,50748,893,382,305,74,172,57,112,33,0.48
7107,0,249900,25813,1043,178,242,14,297,33,187,15,0.29
1226,4,9162,0,16,0,11,0,53,0,44,0,0.36
7190,0,108079,23677,407,68,136,22,169,30,118,25,0.53
7111,0,294715,98109,1120,468,393,226,462,84,348,47,0.42
7106,0,185409,60070,619,359,199,79,246,67,180,31,0.44
5664,0,192130,35760,875,163,226,48,104,21,63,5,0.38
7104,0,148673,46623,674,420,349,103,238,117,185,96,0.65
4646,1,208120,64723,1399,471,334,130,551,116,495,52,0.39
7102,0,166549,60060,500,344,90,89,207,31,159,8,0.54
6615,0,310062,60822,1376,397,351,81,320,34,252,12,0.5
7109,0,99132,23746,334,86,91,32,288,88,221,36,0.49
7212,0,159059,38748,304,218,124,71,312,133,243,115,0.42
7101,0,160232,35144,552,132,136,34,140,26,119,12,0.53
7113,0,0,0,0,0,0,0,0,0,0,0,1
