id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
3757,0,21025,48980,98,229,30,100,95,149,58,143,0.64
7181,0,114335,35520,334,117,120,23,184,79,135,44,0.43
7247,0,1737,0,4,0,4,0,0,0,0,0,1
5025,0,78697,42817,253,185,78,56,59,47,43,40,0.52
7178,0,73707,35161,113,215,64,32,99,119,72,95,0.66
7173,0,8573,0,35,0,7,0,21,0,20,0,0.3
7180,0,258571,103696,974,782,380,225,438,204,363,186,0.81
7176,0,140560,45971,685,250,218,115,170,77,118,59,0.47
3657,3,58636,40419,229,103,50,35,134,69,95,42,0.4
7179,0,121639,22627,389,129,144,84,276,23,195,22,0.49
1059,63,2738,0,1,0,1,0,4,0,1,0,0.45
7175,0,33096,23401,14,138,6,36,70,122,47,99,0.66
6125,69,124226,50945,239,266,104,55,244,31,156,17,0.58
7172,0,58459,29503,78,126,17,34,22,75,12,63,0.78
6485,0,4723,2179,4,6,3,3,8,0,8,0,0.71
4113,0,0,0,0,0,0,0,0,0,0,0,1
6074,23,67958,46492,283,153,124,21,143,57,108,31,0.5
3765,0,0,0,0,0,0,0,0,0,0,0,1
7174,0,59430,41612,241,227,142,139,256,195,219,182,0.49
7206,0,16,0,0,0,0,0,0,0,0,0,1
7177,0,25763,10218,0,37,0,12,58,10,28,7,0.69
7205,0,34687,9842,43,22,22,5,140,35,129,33,0.66
