id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
6403,3,49,0,0,0,0,0,0,0,0,0,0
6339,25,57912,0,249,0,87,0,97,0,93,0,29306.44
6346,17,98082,0,234,0,87,0,195,0,163,0,9762.91
6399,13,36779,0,136,0,45,0,60,0,52,0,20020.89
6338,85,175416,43233,334,336,138,148,246,43,211,41,26420.81
5285,48,85076,46805,308,197,125,103,172,124,158,111,15437.65
6342,37,18228,1272,116,4,41,4,34,0,34,0,56230.65
6348,13,4294,0,0,0,0,0,21,0,20,0,84187.91
6340,98,371597,31496,1006,88,403,31,309,30,275,22,22175.83
6533,24,25951,4022,144,10,46,3,99,7,87,7,31617.49
6343,62,173661,52633,604,355,270,166,329,102,287,91,20515.11
5604,38,143808,3074,90,8,37,8,40,2,33,2,22421.64
6349,18,14151,1126,90,2,48,0,37,8,37,8,62457.1
6454,36,140799,0,482,0,253,0,74,0,67,0,25723.17
4992,9,10046,0,78,0,11,0,59,0,49,0,77496.3
6345,77,275693,56646,1153,226,299,84,382,71,303,51,8743.73
6351,74,156640,43569,277,145,81,38,68,9,46,5,6304.72
6344,129,258021,43114,539,144,171,78,130,9,99,9,14129.25
4605,20,51434,0,49,0,18,0,32,0,19,0,20222.96
6341,13,2402,0,1,0,1,0,0,0,0,0,0
6347,11,30332,0,0,0,0,0,86,0,76,0,53339.15
