id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
7659,35,257479,95204,1185,420,488,215,241,31,207,20,0.7
7688,22,13545,0,111,0,74,0,3,0,3,0,0.25
2012,12,0,1772,0,7,0,7,0,0,0,0,1
6363,37,63742,52037,173,300,73,102,78,65,71,58,0.77
7211,164,217386,101427,634,511,192,182,186,44,160,19,0.59
7662,12,35952,0,119,0,51,0,17,0,15,0,0.88
7657,40,105464,22732,479,116,224,62,108,13,69,9,0.72
6364,36,16,0,0,0,0,0,0,0,0,0,1
4046,143,145005,68300,186,138,63,44,139,36,78,15,0.66
7779,0,0,0,0,0,0,0,0,0,0,0,1
5029,100,398000,62715,2030,321,482,105,227,38,171,20,0.38
5826,44,20903,20512,48,88,16,14,68,29,43,11,0.6
5086,1,121,0,0,0,0,0,0,0,0,0,1
3241,17,98112,62560,253,189,82,53,147,19,105,7,0.67
1059,130,328,0,0,0,0,0,1,0,1,0,0.21
5062,34,31433,0,88,0,26,0,5,0,4,0,0.09
7663,56,269992,76577,646,399,292,153,403,17,279,9,0.88
7660,14,227977,76848,345,75,118,28,147,24,55,14,0.73
4694,9,6438,3857,49,37,28,24,23,16,20,13,0.47
5299,69,138482,69488,448,577,180,231,127,43,79,31,0.52
4051,27,2954,0,20,0,6,0,19,0,19,0,0.43
2150,5,0,0,0,0,0,0,0,0,0,0,1
7658,30,50867,92545,250,438,110,193,100,64,91,51,0.83
4056,8,5152,0,52,0,14,0,17,0,15,0,0.42
4854,0,0,1468,0,9,0,9,0,2,0,2,1
7742,30,32325,15822,238,113,137,40,24,19,18,9,0.7
6464,36,11647,0,24,0,9,0,12,0,5,0,0.84
