id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
7580,56,198458,29836,485,53,85,15,277,29,163,20,0.46
2006,11,7377,0,10,0,7,0,10,0,7,0,0.91
6338,102,48993,26822,180,103,71,27,112,28,71,25,0.79
3859,35,88811,69801,238,334,86,148,35,10,25,4,0.6
7576,33,189382,41669,1058,204,362,108,319,30,228,27,0.49
7575,64,173979,55762,558,202,230,85,168,55,112,32,0.47
6342,71,105946,49403,479,238,110,92,137,58,91,24,0.72
4305,10,140,0,0,0,0,0,0,0,0,0,1
2950,41,60887,21223,205,102,44,14,38,24,20,8,0.66
6533,33,49840,37673,106,145,43,79,47,19,38,16,0.78
7579,49,152315,53543,866,255,160,72,440,116,320,73,0.44
5824,55,287768,104569,882,802,303,322,205,67,134,56,0.43
6379,135,295110,33348,1336,77,236,23,696,45,347,29,0.24
7675,20,4930,0,22,0,6,0,3,0,1,0,0.95
7573,25,186699,52585,784,231,219,49,154,27,84,23,0.73
7239,36,217130,82516,534,550,232,209,163,222,106,208,0.54
5628,176,79665,122083,203,353,35,120,148,33,86,24,0.72
6358,43,29648,12743,52,95,16,45,33,13,26,13,0.38
6555,177,5,0,0,0,0,0,0,0,0,0,1
7581,3,1169,0,0,0,0,0,5,0,5,0,0.07
6344,152,178879,61196,458,175,113,32,78,13,46,7,0.7
7577,42,218084,81185,1163,318,289,104,509,40,388,38,0.43
3361,65,193017,49869,935,415,301,155,284,33,228,30,0.54
4048,38,167387,47604,509,177,198,72,119,20,85,15,0.53
6354,171,82803,58658,212,246,101,131,99,51,71,41,0.65
6483,53,4179,11587,5,50,2,17,10,11,7,9,1.0
7574,31,72108,15008,270,82,127,45,90,5,66,4,0.8
