id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
7702,27,111241,30209,356,89,143,27,95,14,52,4,0.9
7701,25,15711,2330,23,3,15,0,25,38,24,38,0.74
7623,14,33861,7548,66,30,31,18,33,4,32,4,0.61
6432,121,90383,38258,320,107,81,39,211,42,147,22,0.79
5500,93,567931,31421,3149,67,718,11,473,17,215,6,0.45
6437,52,107660,14283,497,77,220,18,172,10,125,9,0.9
7624,57,164319,34178,754,147,169,33,155,9,67,6,0.78
3263,5,0,0,0,0,0,0,0,0,0,0,1
7622,44,190392,43985,665,99,221,17,183,18,120,9,0.49
7502,38,140675,37109,781,130,179,37,79,7,35,4,0.6
3658,1,5405,0,19,0,6,0,2,0,1,0,0.88
7620,47,419705,63876,2796,344,528,84,189,16,121,8,0.65
7617,38,479461,126801,1008,258,200,35,232,15,117,3,0.68
4338,89,28550,9344,95,26,18,2,23,13,13,9,0.49
3511,2,1889,0,21,0,13,0,0,0,0,0,1
7618,30,159017,76109,375,379,176,126,224,39,162,35,0.84
7721,13,1119,0,7,0,0,0,2,0,2,0,1.0
6461,106,182587,56650,520,294,147,79,52,10,38,8,0.81
7616,26,153562,44403,511,162,209,45,156,31,107,11,0.73
2912,28,171140,33765,856,136,204,21,131,33,77,9,0.35
7615,46,209637,52638,907,219,436,48,124,13,76,4,0.71
7621,16,18049,12128,84,50,39,35,36,16,34,16,0.92
7614,21,10707,0,47,0,18,0,9,0,9,0,0.74
7619,6,2205,0,10,0,2,0,4,0,0,0,0.36
7692,72,35446,0,94,0,17,0,12,0,6,0,0.4
6091,215,23,19,0,0,0,0,0,0,0,0,1
