id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
7508,26,28759,15584,97,71,48,29,44,11,28,6,0.77
7646,9,20856,11293,0,8,0,6,53,3,48,3,0.96
7651,41,137002,29048,353,101,99,12,226,33,163,13,0.6
7648,33,84827,76687,90,357,56,162,211,42,174,38,0.8
7644,26,114167,34666,564,209,297,53,192,39,122,27,0.56
7654,36,55398,39337,53,99,36,47,330,168,291,168,0.67
7649,4,0,0,0,0,0,0,0,0,0,0,1
7191,159,5124,0,20,0,10,0,3,0,2,0,0.24
7726,21,62583,14437,229,102,100,9,97,15,76,2,0.84
7653,49,100419,42140,317,223,174,102,292,28,190,12,0.69
7725,8,1265,581,0,0,0,0,9,0,9,0,1.0
7647,13,70617,57171,74,221,30,73,83,60,56,52,0.78
7655,13,52988,16183,220,106,122,39,59,28,52,20,0.88
5522,7,2501,0,14,0,6,0,0,0,0,0,1
6460,63,2734,0,6,0,0,0,14,0,10,0,0.03
7640,70,123290,31371,521,158,204,77,100,13,89,3,0.69
7642,23,60085,8891,384,62,153,17,122,12,81,11,0.61
7650,24,134793,55471,656,266,243,67,202,40,123,30,0.49
7641,21,36285,9181,243,117,99,77,36,8,32,7,0.65
7643,63,174378,35404,632,97,324,34,165,12,127,6,0.63
7740,18,38681,11249,21,38,21,17,19,29,10,29,0.84
7686,4,4005,1533,0,0,0,0,17,1,14,1,1.0
7639,51,44359,17997,30,60,8,24,393,49,337,45,0.88
7656,33,94923,21139,358,77,187,39,81,2,52,2,0.86
6337,69,69080,39562,196,247,92,74,91,85,69,48,0.78
5052,37,68352,33009,181,142,57,27,95,49,71,40,0.47
4202,99,136982,43862,779,213,140,115,174,30,107,18,0.44
6604,398,27267,0,142,0,66,0,64,0,49,0,0.28
