id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
7593,41,151179,62244,646,392,193,237,190,102,124,89,0.8
7748,53,217365,38652,1392,166,529,58,264,41,148,32,0.58
7598,23,170988,88856,795,453,319,189,252,129,174,117,0.67
3595,212,113634,26691,465,69,152,7,145,11,77,6,0.54
7584,24,122325,58098,425,355,149,146,494,220,426,203,0.7
7588,39,471836,62665,1575,177,461,46,451,37,332,27,0.37
7583,62,121337,55581,163,163,68,67,174,37,110,25,0.43
7597,9,11592,0,29,0,11,0,20,0,17,0,0.46
6401,117,136831,43327,434,125,80,37,149,17,115,7,0.43
7591,37,71121,16546,207,108,69,28,257,53,213,52,0.66
7587,1,0,0,0,0,0,0,0,0,0,0,1
7596,28,236077,69275,1300,439,423,99,677,64,552,45,0.89
5308,85,275437,85321,1369,223,417,60,120,6,80,4,0.45
7595,33,198991,53887,375,117,112,47,258,103,201,97,0.58
5148,33,32713,5660,73,15,24,0,113,15,91,10,0.95
7635,26,111055,41948,422,222,163,70,146,46,125,41,0.67
7721,13,3832,0,25,0,10,0,8,0,4,0,0.36
7599,31,214257,40227,731,159,264,30,289,26,186,21,0.54
7594,22,151986,45788,320,65,109,21,228,24,170,16,0.61
7589,3,69731,26282,142,51,50,15,107,25,84,17,0.61
6485,174,18928,19053,63,102,26,36,38,23,24,23,0.82
3018,84,30902,0,121,0,46,0,10,0,0,0,0.84
7757,35,6463,0,51,0,5,0,9,0,5,0,0.69
7585,14,41180,6466,71,44,19,20,99,16,83,16,0.65
7590,46,155699,51231,602,343,259,90,292,102,209,93,0.74
7600,33,105224,37109,174,134,89,78,157,57,124,51,0.81
7582,47,79355,12310,205,58,114,15,223,382,196,381,0.69
6479,119,173253,30787,642,134,197,25,316,54,253,19,0.53
7592,18,114000,70203,289,258,130,126,276,117,229,99,0.73
7676,36,10832,0,91,0,57,0,18,0,18,0,0.89
7586,25,65260,65697,199,366,98,179,72,45,54,38,0.63
