id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_erros_sintaticos_testes_listas,total_submissoes_listas,total_submissoes_incorretas_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_avaliacoes,total_submissoes_avaliacoes,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
4224,121,136776,23180,2618,481,700,561,590,74,90,72,29523.76
4214,78,56462,35962,537,179,375,275,763,170,124,117,18210.17
4337,116,64689,14243,1709,124,192,145,356,35,10,6,26939.76
2104,5,8,0,0,0,1,0,0,0,0,0,18825.12
4231,42,34671,2026,725,182,208,179,24,9,0,0,38192.95
4245,37,13662,6334,197,68,132,118,50,40,24,24,23647.36
4210,200,90960,18078,973,123,196,151,311,18,102,91,8385.86
4228,77,61090,38746,753,216,168,145,659,113,44,44,21088.98
3531,10,2415,0,53,18,3,3,0,0,0,0,96361.56
4246,112,120208,37031,1083,175,327,246,555,34,69,36,26028.67
4223,81,21493,18834,419,113,140,114,436,184,74,72,13121.66
3506,32,17895,620,111,18,35,13,8,0,1,0,27972.54
4215,12,9127,646,118,15,43,39,6,2,1,1,61310.93
4208,342,61309,14494,596,204,310,232,264,86,89,62,18973.45
4219,196,43503,15845,491,175,331,302,322,81,45,32,71423.26
4236,155,48610,16227,555,98,264,203,275,25,76,67,54143.87
4209,68,47739,4817,709,182,385,237,93,3,14,14,24029.46
4216,129,80927,33077,2318,375,680,577,989,149,105,87,13125.0
4233,158,90817,26979,924,144,343,291,555,52,162,101,27366.75
4211,70,26586,20425,316,57,216,167,335,39,413,201,53891.97
4218,27,8702,210,196,21,23,21,3,0,0,0,6937.38
4229,160,78181,27775,726,146,545,463,403,109,62,56,40975.75
4213,95,77702,8977,1679,198,324,288,186,15,19,14,27149.73
4234,44,35542,9199,657,191,193,188,300,140,51,50,6036.61
4206,72,105520,13946,1832,526,721,614,218,4,133,92,15874.17
4207,161,60519,22399,735,157,272,208,357,80,91,85,37097.64
4239,37,26052,6362,285,94,57,50,71,26,6,6,10774.48
4227,186,75308,21505,1205,240,458,344,539,59,207,195,13802.51
3621,206,22124,0,349,75,137,80,0,0,0,0,43494.79
4201,61,15652,8935,209,64,92,71,167,104,9,9,5392.71
4238,26,19407,1333,479,88,161,153,19,0,2,2,20262.97
4221,29,17554,4148,304,54,192,190,97,40,75,75,47950.64
4198,72,43109,25610,546,47,125,105,343,37,17,13,26149.24
4244,202,179063,40331,2761,398,809,738,889,147,112,107,30298.59
2286,66,39004,12951,252,54,94,74,209,5,42,40,14386.77
4230,65,54680,20267,502,87,523,433,239,15,142,121,46690.69
4237,87,44846,30702,389,110,151,108,382,131,85,52,3660.98
4240,62,24316,9649,182,26,125,89,136,16,18,16,6597.03
3203,2,93,0,0,0,0,0,0,0,0,0,0
4205,102,31300,18363,403,73,237,186,343,49,82,60,18404.3
4339,62,52776,12831,1131,390,364,322,460,271,234,228,26060.45
4220,9,6072,0,0,0,40,34,0,0,0,0,22287.97
4235,115,57250,25402,1067,298,292,226,564,89,159,154,22384.84
4203,185,19173,17130,344,39,258,210,289,45,754,752,13728.01
4212,155,91922,23328,977,264,538,357,249,20,56,24,40832.86
4199,133,73620,32347,1341,241,597,521,748,158,78,70,6981.61
4483,87,45993,14918,687,193,905,832,237,134,169,168,2520.02
4204,7,2267,0,0,0,15,13,0,0,0,0,21258.55
4226,39,33857,9988,733,158,224,199,225,35,92,63,71459.37
1407,39,0,0,0,0,0,0,0,0,0,0,0
4225,79,44878,19925,328,56,250,177,278,48,147,102,15573.79
4232,86,57037,8918,1021,232,347,306,133,35,5,5,19062.02
4202,114,49405,23445,850,288,287,258,642,213,51,51,35027.8
