id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_erros_sintaticos_testes_listas,total_submissoes_listas,total_submissoes_incorretas_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_avaliacoes,total_submissoes_avaliacoes,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
4187,226,184574,18939,3323,1016,638,472,288,34,49,40,118817.03
4183,178,90677,12653,1225,603,663,600,242,14,84,69,174588.57
4478,124,92334,16563,1644,739,294,266,313,51,50,44,119054.39
3676,4,56,0,0,0,1,0,0,0,0,0,174720.05
4194,95,32180,9131,788,354,402,341,216,55,51,40,107894.94
4429,79,43071,6090,1720,1336,400,366,145,87,10,10,137949.69
4603,1,84,0,0,0,0,0,0,0,0,0,0
4480,97,57105,8901,905,435,240,235,243,90,15,15,129244.92
4176,81,49810,15345,1156,755,278,257,413,53,69,67,144385.17
3263,1,214,0,0,0,1,0,0,0,0,0,203528.97
3119,113,97929,15216,1238,459,261,152,277,44,20,14,121176.98
3113,124,136129,12755,3278,864,635,550,375,24,55,42,136891.55
4190,94,62196,11408,775,342,405,244,223,41,7,7,136516.36
4444,151,192721,20535,1988,960,851,712,201,69,106,105,105564.95
4331,4,666,0,0,0,8,5,0,0,0,0,203060.67
4175,170,121922,17593,2613,752,2284,1847,398,27,52,33,151345.46
4170,64,39648,3142,283,96,243,214,71,6,41,39,126733.1
4179,48,29206,10920,497,276,106,93,286,50,44,40,156211.81
4180,160,60283,21093,1764,984,655,537,632,158,108,102,151260.95
4482,41,21645,9237,518,424,292,278,129,70,66,63,152187.44
4182,60,23124,6735,306,154,443,429,132,34,82,80,153819.92
4481,104,52463,10926,525,308,286,220,200,53,117,117,115144.41
4193,55,24060,6685,392,305,87,87,142,45,14,14,168293.33
4330,253,113439,20168,1615,1184,4725,3916,414,126,571,350,144394.99
4186,38,9881,2625,83,55,145,130,87,31,89,88,187273.37
4427,133,35067,7413,509,274,214,168,101,25,27,27,122643.75
4343,16,9962,187,0,0,110,79,0,0,0,0,163720.15
4443,222,226454,9508,3115,779,230,170,146,12,8,6,113445.43
1330,45,29083,10350,352,120,352,276,207,10,132,87,124354.64
4174,128,94600,19599,1780,1474,1387,1248,425,82,159,151,137569.02
4178,98,31795,10386,641,212,270,217,292,12,34,34,144998.36
4184,42,20297,6568,390,161,151,145,97,58,6,6,163359.73
4173,158,79413,22946,1743,1228,3131,2825,577,134,891,707,150453.95
4188,180,81286,9730,1171,416,2077,2006,86,7,3,2,131427.57
4171,251,196357,24101,3897,1230,4489,4137,416,49,345,273,138124.73
1064,58,198,0,6,3,6,3,0,0,0,0,134574.98
3858,64,34919,9102,558,161,352,316,159,22,117,92,125038.52
4342,80,81604,13931,1557,872,217,199,316,57,30,26,157581.05
4189,84,63120,16764,932,534,1073,1023,323,185,412,364,132268.74
4181,80,16345,4770,240,71,190,157,68,4,11,10,161707.94
4501,141,132852,8214,1674,1005,1820,1771,136,14,9,7,108292.47
4185,70,20968,8959,138,30,233,203,27,6,14,14,138507.46
3135,128,82037,16130,1120,503,376,327,273,35,20,16,142560.24
4500,46,21901,5689,415,230,254,237,82,35,25,25,136579.45
2636,60,3574,0,57,8,8,2,0,0,0,0,138275.42
4479,47,8423,8780,79,48,212,205,81,58,41,40,116602.66
3812,36,7842,0,39,18,90,52,0,0,0,0,166179.23
4191,103,69205,14288,1191,517,280,223,284,39,67,45,132238.65
4428,84,45996,4309,546,395,60,47,93,12,8,8,149438.4
1407,39,0,0,0,0,0,0,0,0,0,0,0
4192,39,6193,1499,83,12,169,153,16,7,43,39,175193.88
4472,153,93098,25482,1450,1015,718,604,368,47,174,168,114204.8
4177,60,14583,2998,139,119,35,29,57,24,5,5,167296.34
4172,206,138146,22203,2526,1159,1823,1540,735,63,231,113,119633.97
