id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_erros_sintaticos_testes_listas,total_submissoes_listas,total_submissoes_incorretas_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_avaliacoes,total_submissoes_avaliacoes,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
4077,30,20319,3191,508,337,152,145,77,24,16,16,36523.72
3558,2,736,608,23,14,8,7,43,27,4,4,119433.08
2171,56,15094,7280,258,255,80,70,191,125,12,12,69831.16
2643,2,370,0,0,0,0,0,0,0,0,0,0
4075,27,9170,3243,127,115,100,92,92,45,68,68,34806.05
4085,63,50950,6306,569,247,223,216,96,36,44,44,55834.78
4057,66,57420,6943,544,200,203,175,93,11,10,8,70165.29
4325,127,8407,0,198,188,304,287,0,0,0,0,131968.16
3555,36,20897,11054,356,209,177,161,289,104,53,48,76567.81
4063,13,11955,2279,159,129,74,73,3,3,0,0,87393.46
4061,220,92323,7294,1402,631,197,189,122,22,7,7,66883.03
4328,40,13830,2380,333,211,72,69,75,11,19,19,89171.28
4068,12,5930,0,33,34,4313,4313,0,0,0,0,119324.51
4071,58,25513,2313,460,277,138,123,47,6,9,9,54500.8
4059,62,43692,14076,385,235,642,570,308,50,49,37,36039.75
4082,84,35495,10569,356,318,261,233,125,47,38,38,75039.51
2363,5,1951,0,57,3,4,0,0,0,0,0,8918.09
4062,86,44566,10678,1030,783,339,285,274,149,26,26,58063.45
4029,80,38317,4335,511,291,94,90,46,16,1,1,27857.32
4080,77,20559,2458,275,103,479,184,32,2,1,1,121851.22
4083,76,69959,20538,1077,613,316,277,367,71,126,91,48936.41
4314,31,251,0,0,0,6,4,0,0,0,0,136708.49
4326,23,4020,3447,8,19,48,47,64,33,43,43,34410.26
4344,47,22766,3388,321,246,64,56,66,62,5,5,79988.9
3392,10,5286,41,166,54,34,32,0,0,0,0,77650.49
3034,65,289,0,5,0,2,2,0,0,0,0,98206.33
4322,63,21468,10713,414,239,317,264,204,47,41,38,32350.62
4067,55,41815,8943,322,110,815,786,195,11,158,158,67184.15
1685,14,4569,0,104,50,62,60,0,0,0,0,90203.12
4327,56,21637,8217,509,248,136,111,144,39,5,5,57396.43
4073,43,12502,7347,197,154,344,330,311,215,646,645,71334.26
3851,26,908,0,5,2,8,7,0,0,0,0,27709.27
1168,78,126,0,0,0,2,0,0,0,0,0,135599.92
4065,113,40801,7024,1246,515,360,320,192,33,46,44,86411.02
2549,12,1926,0,49,15,18,18,0,0,0,0,53317.69
4079,101,101960,35010,2374,1851,1091,1039,1031,578,100,100,59821.69
4084,9,2241,0,35,16,13,13,0,0,0,0,127546.99
4070,27,6532,4071,69,47,58,53,39,21,35,34,29135.75
4515,10,7912,1493,152,72,13,12,9,1,14,8,40233.47
4078,76,68477,9130,801,576,197,125,172,62,33,33,53598.43
2360,26,20171,6530,279,261,240,223,130,9,16,16,62415.64
2636,60,1880,0,17,6,0,0,0,0,0,0,0
4058,64,20107,6521,243,119,246,204,83,30,22,20,50378.71
4272,45,27387,2480,605,306,255,242,55,21,15,15,76040.83
4066,120,113633,20875,1645,592,409,315,374,49,48,43,83531.44
4081,69,42992,6267,767,873,255,207,196,57,76,76,56821.04
4060,95,89182,22431,1574,662,347,238,382,75,74,69,44776.9
4056,7,2444,0,34,15,60,52,0,0,0,0,104172.87
3396,70,20075,9618,232,165,145,93,181,65,31,30,54010.35
1407,39,362,7,6,19,3,3,0,0,0,0,84004.88
4072,29,7502,2096,42,22,82,76,13,8,1,1,105774.44
4076,21,4685,1355,102,54,25,23,5,4,1,1,55575.7
4074,22,5873,1720,36,32,67,61,35,16,1,1,113251.09
4069,15,7777,162,200,48,118,106,0,0,0,0,68840.71
