id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
4631,25,62879,1372,446,13,182,0,114,15,90,1,0.46
4637,21,26635,2275,277,16,272,9,1303,4,1292,4,0.72
2810,19,26458,2437,104,3,29,1,10,0,10,0,0.48
4628,31,51094,3637,359,19,124,6,173,7,149,7,0.53
4642,29,66853,4100,326,44,94,10,60,0,52,0,0.38
4042,77,6212,0,20,0,11,0,3,0,0,0,0.25
4651,12,54335,3692,177,10,117,1,155,2,147,2,0.42
4047,59,255,0,0,0,0,0,0,0,0,0,1
4630,27,72085,7407,454,32,283,17,62,0,54,0,0.34
4884,2,7422,0,27,0,5,0,0,0,0,0,1
4647,24,126328,6901,1129,64,289,4,321,2,222,2,0.34
4650,20,30155,2991,141,21,69,8,21,6,17,6,0.54
4640,32,49345,3540,223,6,56,1,98,1,70,0,0.27
4652,7,5,5889,0,187,0,66,0,119,0,119,1
3658,12,10196,0,26,0,2,0,108,0,89,0,0.34
4643,20,43462,1300,192,5,142,0,273,4,249,4,0.58
4489,151,0,0,0,0,0,0,0,0,0,0,1
4629,32,83012,1722,919,14,475,0,361,2,304,2,0.22
4654,36,100126,3001,549,9,430,6,350,11,322,11,0.47
1139,61,0,0,0,0,0,0,0,0,0,0,1
4717,20,78781,3818,556,21,132,1,96,2,81,1,0.26
4653,21,81223,3641,460,10,501,0,245,1,196,0,0.45
4663,61,0,0,0,0,0,0,0,0,0,0,1
3702,11,23060,0,56,0,19,0,7,0,4,0,0.6
4624,35,5874,0,14,0,1,0,27,0,22,0,0.24
3693,52,47924,3268,371,28,208,1,110,28,90,28,0.46
4635,15,31417,5716,132,25,56,19,34,0,30,0,0.63
2719,18,0,0,0,0,0,0,0,0,0,0,1
4656,28,33507,3518,155,38,111,5,50,21,32,21,0.63
1226,77,7410,0,24,0,19,0,30,0,22,0,0.31
4639,31,56812,3590,371,40,121,7,158,5,132,4,0.39
4865,16,21254,0,84,0,54,0,95,0,78,0,0.84
2527,16,8715,0,70,0,38,0,34,0,27,0,0.08
3708,14,25349,4783,106,51,70,11,56,0,45,0,0.63
4638,20,62847,2739,272,20,109,1,259,13,212,12,0.48
3655,25,41218,5184,268,31,162,0,152,4,142,4,0.47
4646,23,38517,3701,684,63,1311,56,1483,109,1474,109,0.34
4818,13,45344,3561,211,65,122,38,52,1,31,1,0.33
3718,18,30682,4449,202,31,80,4,51,11,44,11,0.62
4649,34,55445,2090,350,7,193,2,212,0,130,0,0.21
3784,3,0,0,0,0,0,0,0,0,0,0,1
4851,7,1004,0,1,0,2,0,5,0,5,0,0.13
4659,31,45726,3123,270,13,84,2,356,4,281,4,0.31
1168,70,0,0,0,0,0,0,0,0,0,0,1
4655,30,34236,3904,194,25,201,8,72,6,62,6,0.52
3701,44,38864,5406,164,48,90,8,152,11,129,11,0.57
4512,92,41255,2487,367,36,212,2,279,8,219,6,0.1
2562,25,52147,0,260,0,98,0,82,0,48,0,0.28
4645,15,41553,2840,180,7,42,0,71,0,60,0,0.3
4626,12,15160,1126,38,7,20,0,62,0,52,0,0.61
4716,5,0,0,0,0,0,0,0,0,0,0,1
3699,24,26995,0,212,0,53,0,52,0,44,0,0.46
3062,71,0,0,0,0,0,0,0,0,0,0,1
3782,11,33544,0,196,0,55,0,134,0,118,0,0.46
4633,11,13647,3696,114,28,126,15,85,6,73,6,0.63
4632,74,60666,2270,625,17,313,7,205,1,156,1,0.1
4864,27,47513,6232,252,55,159,26,176,8,130,8,0.61
4641,22,45100,2234,215,4,141,1,193,0,183,0,0.61
