id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
2958,29,19659,4532,172,43,92,12,29,7,27,7,0.69
4704,9,4555,0,28,0,5,0,11,0,10,0,0.04
4822,13,12651,0,71,0,44,0,42,0,37,0,0.45
4024,119,0,0,0,0,0,0,0,0,0,0,1
2014,8,0,0,0,0,0,0,0,0,0,0,1
4700,23,35890,6843,193,55,74,28,14,0,14,0,0.48
3726,8,8662,3788,58,57,42,22,39,42,38,42,0.1
4743,7,10,0,0,0,0,0,0,0,0,0,1
4711,47,37489,4550,176,21,92,5,45,9,37,9,0.26
4737,50,53050,5693,195,21,53,8,67,0,45,0,0.25
4697,75,70363,7404,501,107,140,3,87,5,53,5,0.51
4738,49,66656,4700,467,35,292,0,114,8,65,7,0.31
4692,39,67573,5903,622,55,332,11,172,6,155,6,0.69
2022,18,19329,4330,160,57,61,35,38,2,38,2,0.55
4705,13,2441,3159,23,67,11,38,39,19,37,18,0.65
4741,27,52763,4568,351,29,176,6,52,0,43,0,0.34
3740,22,0,0,0,0,0,0,0,0,0,0,1
3737,9,18410,0,118,0,25,0,17,0,15,0,0.17
4742,7,2598,910,87,7,57,2,11,1,10,1,0.58
2845,13,13081,4621,69,22,61,6,13,0,13,0,0.24
2306,4,2364,0,10,0,4,0,1,0,1,0,0.08
4693,6,0,0,0,0,0,0,0,0,0,0,1
4701,39,52039,8091,433,76,175,9,100,12,71,11,0.25
4861,11,27091,2621,233,61,155,18,56,2,46,2,0.75
4696,63,71647,4023,516,42,244,1,91,6,78,6,0.39
2527,16,0,6652,0,83,0,37,0,8,0,8,1
4698,21,17588,7052,140,75,130,2,59,58,54,58,0.52
3738,35,7589,0,18,0,0,0,27,0,11,0,0.08
3729,14,21082,3290,162,60,116,9,25,5,13,4,0.64
4699,17,28924,13366,332,121,233,26,132,42,123,41,0.4
4744,22,36270,7185,195,78,66,5,110,13,53,11,0.45
3734,19,23642,4575,173,65,99,22,41,2,34,2,0.34
2993,19,30560,6773,225,91,227,11,115,24,111,24,0.59
4032,128,23326,2082,89,2,32,0,105,7,91,5,0.44
4745,12,1602,0,17,0,2,0,7,0,7,0,0.81
4694,32,21839,6606,136,69,223,14,99,23,84,23,0.75
3723,4,0,0,0,0,0,0,0,0,0,0,1
2036,1,0,0,0,0,0,0,0,0,0,0,1
3581,38,42379,2213,310,8,237,5,284,0,261,0,0.49
4881,4,10985,0,5,0,1,0,29,0,12,0,0.49
4739,13,54251,9365,577,76,256,21,361,31,352,31,0.49
4854,8,0,376,0,3,0,1,0,0,0,0,1
4867,13,19062,2793,145,26,27,3,24,5,22,1,0.22
4740,20,15339,3204,120,218,174,13,110,140,107,140,0.39
3695,7,23970,13825,171,130,125,67,25,19,24,19,0.68
4703,13,2032,2550,3,2,2,2,4,19,1,19,0.5
4695,49,110595,6353,796,34,327,0,118,1,92,1,0.3
2951,37,30935,3229,116,17,71,8,49,1,41,0,0.35
