id_aluno,logins,tamanho_logs_listas,tamanho_logs_avaliacoes,total_testes_listas,total_testes_avaliacoes,total_erros_sintaticos_testes_listas,total_erros_sintaticos_testes_avaliacoes,total_submissoes_listas,total_submissoes_avaliacoes,total_submissoes_incorretas_listas,total_submissoes_incorretas_avaliacoes,indice_procrastinacao_listas
1958,13,7024,5316,24,79,6,13,9,24,6,24,0.94
4830,11,34470,1382,100,4,47,0,71,1,56,1,0.01
4480,97,5399,0,15,0,0,0,13,0,8,0,0.31
4827,8,43260,2923,144,4,92,1,50,1,37,0,0.1
4836,23,32931,1376,130,6,33,2,37,0,16,0,0.01
4841,16,34680,1468,157,4,83,0,119,0,86,0,0.06
4847,30,62365,3387,517,19,254,2,107,0,70,0,0.15
4834,24,58048,4793,305,49,152,25,46,0,35,0,0.23
4832,30,103530,5985,883,37,619,20,107,2,85,2,0.06
4296,170,21615,0,375,0,72,0,30,0,29,0,0.05
4826,26,34432,2616,252,12,99,1,56,1,37,1,0.13
4828,19,28298,6187,43,24,23,33,45,9,25,9,0.44
4839,26,29862,1007,167,2,58,0,204,1,99,0,0.01
4846,52,56915,4349,579,57,263,5,89,13,80,13,0.22
3753,11,21016,2792,149,13,83,2,12,0,10,0,0.1
4825,22,28771,3943,250,62,89,9,71,3,55,3,0.13
4835,17,26973,1912,158,17,75,20,76,4,56,3,0.08
4856,87,2899,7763,8,63,2,24,2,8,1,8,0.01
4829,21,59718,5605,470,38,227,9,71,4,61,2,0.13
4333,97,785,0,3,0,0,0,0,0,0,0,1
4840,31,61694,3369,412,14,245,3,345,2,302,2,0.05
4838,16,38938,4986,220,62,122,21,122,1,79,1,0.04
4837,19,30917,3413,248,59,124,31,33,13,33,13,0.16
3805,43,57612,4793,588,56,275,30,192,0,161,0,0.03
2854,6,18311,3010,99,14,53,4,27,0,25,0,0.05
4831,33,83617,4645,464,33,202,12,149,0,74,0,0.58
4842,19,37169,2536,188,32,183,2,141,3,134,3,0.09
1517,13,38483,1855,84,3,13,0,45,0,31,0,0.03
4833,52,92375,2888,884,24,309,3,280,2,227,1,0.01
